Focus,Nodes,Relationship,Distinct Labels,Distinct RelTypes,Average of Total Degrees,Average of Focus Degrees,Patterns,Total All Matches,Focus Nodes,Max Hops,Max Edges,Total Time,sup threshold,conf threshold,BiSim Checking Time,Number Of BiSim Checking Request,Number Of Real BiSim Checking,Creation Of New Lattice Node,Creation/Checking Of Dangling Nodes,Number of Dangling Nodes,deltaT,Num. of support computations,TemporalMatchSet computational time,fixed LHS,RHS trials,totalStopDueToSupportOrConfidenceThreshold,num Of TotalRules Generated,num Of Maximal Rules Generated,num of gtarVerification,gtarVerificationDuration,checkIfSubPatternDuration,minTimestamp,maxTimestamp,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,1354.614879,0.5,0.5,2.582238,218,30,31.005809,93.366139,1,100,17,1093.084361,19,1,0,1,1,1,1.701366,0.024319,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,1102.243216,0.5,0.5,5.158547,218,30,28.751104999999995,35.207416,1,100,17,989.1203069999999,19,1,0,1,1,1,1.296355,0.026317,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,2762.461928,0.5,0.5,13.406170999999997,218,30,121.492324,187.585885,1,100,17,2348.6848669999995,19,1,0,1,1,1,1.35974,0.030278,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,3903.356981,0.5,0.5,15.256338,218,30,125.99305299999999,206.101475,1,100,17,3112.4537800000003,19,1,0,1,1,1,1.293684,0.029684,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,1456.125884,0.5,0.5,2.5762110000000007,218,30,32.979603,37.852108,1,100,17,1323.9031989999999,19,1,0,1,1,1,1.056877,0.020630000000000003,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,1526.4314180000001,0.5,0.5,3.2996660000000007,218,30,48.526315,49.358368,1,0,17,1326.001808,19,1,0,1,1,1,1.120724,0.025991,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,1094.8627099999999,0.5,0.5,2.1757429999999975,218,30,22.344842999999997,45.048222,1,0,17,959.254718,19,1,0,1,1,1,1.184801,0.022789999999999998,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,1483.165485,0.5,0.5,2.7740679999999993,218,30,36.877291,58.753379,1,0,17,1299.275682,19,1,0,1,1,1,2.202897,0.027584,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,1125124.531339,0.5,0.5,7.998293999999996,218,30,174618.619317,4982.881966,1,0,17,2855.1447029999995,19,4,0,4,1,4,2358.840357,2150.116143,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,479432.635543,0.6,0.5,144.79653500000003,218,30,13165.683141000003,2064.014221,1,0,17,1745.34188,19,9,0,9,1,9,9024.324988,2966.096747,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,94,3248,633,2,3,4077.3179959999998,1.0E-4,1.0E-4,33.307942999999966,9590,644,92.24198499999997,99.74802899999999,10,0,92,1870.8935190000009,94,6630,0,6630,923,6630,67.3240169999998,81.96138599999986,0,1,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,94,3248,633,2,3,11155.142091,1.0E-4,1.0E-4,53.722038000000154,9590,644,325.53205700000007,4054.414928999999,10,0,92,3816.9746870000004,94,6630,0,6630,923,6630,135.79166099999998,131.99194000000026,0,1,
